	central_mean	npoints	chi2_per_data	perreplica_mean	perreplica_std	group
0	1301.537983511888	832	1.5643485378748652	1338.852523508733	108.00442440840494	CHORUS
1	684.4603617922658	416	1.645337408154485	701.4341129872679	85.58893367206909	CHORUSNBPb
2	560.0423226519184	416	1.3462555832978809	569.0080746979855	23.148317600756638	CHORUSNUPb
3	97.04680901266629	85	1.1417271648548974	100.03024220419073	15.081322199323775	DYE605
4	97.04680901266629	85	1.1417271648548974	100.03024220419073	15.081322199323775	DYE605
5	42.230177194192756	76	0.5556602262393784	59.282047538088534	17.955299401264423	NTVDMN
6	27.78156806059938	37	0.7508531908270103	32.61130875466721	8.556548761745251	NTVNBDMNFe
7	13.690543369618567	39	0.35103957357996324	24.355037611553694	14.408470250572732	NTVNUDMNFe
8	330.3171329698122	248	1.3319239232653717	337.21845895085056	13.863424958657276	BCDMS
9	330.3171329698122	248	1.3319239232653717	337.21845895085056	13.863424958657276	BCDMSD
10	34.093148543838225	15	2.272876569589215	40.71497811217816	16.712101980990933	DYE886
11	34.093148543838225	15	2.272876569589215	40.71497811217816	16.712101980990933	DYE886R
12	133.71493698700928	121	1.105082123859581	146.90433758618718	15.811027402557661	NMC
13	133.71493698700928	121	1.105082123859581	146.90433758618718	15.811027402557661	NMCPD
14	24.359871166495903	34	0.7164667990145854	25.982354255605973	4.09358636311557	SLAC
15	24.359871166495903	34	0.7164667990145854	25.982354255605973	4.09358636311557	SLACD
